FIPS,State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18,Change%
18085,IN,Kosciusko County,41.244293,-85.861575,145.6,57367,35.2,26.57%
18097,IN,Marion County,39.782976,-86.135794,2279.6,48409,28,17.68%
18105,IN,Monroe County,39.160751,-86.523325,349.7,48883,21.9,24.28%
18113,IN,Noble County,41.400794,-85.41785,115.7,61341,40.7,7.48%
18119,IN,Owen County,39.317339,-86.838845,56,49731,42.6,47.37%
18141,IN,St. Joseph County,41.617699,-86.288159,583,54674,30.7,2.17%
18153,IN,Sullivan County,39.089225,-87.415843,48,47554,44.7,20.00%
18175,IN,Washington County,38.600613,-86.104751,55,44534,43.6,24.59%
19027,IA,Carroll County,42.039492,-94.867647,36.6,60531,36.3,44.44%
19103,IA,Johnson County,41.668737,-91.588812,213.1,64387,16.2,19.25%
19105,IA,Jones County,42.125118,-91.116914,35.9,55405,39.7,25.00%
19121,IA,Madison County,41.330622,-94.015184,27.9,74794,35.9,24.24%
19123,IA,Mahaska County,41.330797,-92.636366,39.2,56492,38.8,3.57%
19143,IA,Osceola County,43.378542,-95.633788,16.2,60627,38.5,18.18%
19155,IA,Pottawattamie County,41.340184,-95.544905,98,56337,33.1,18.13%
19163,IA,Scott County,41.641679,-90.62229,360.7,59865,29.9,42.55%
20017,KS,Chase County,38.298553,-96.594064,3.6,50981,27.6,33.33%
20181,KS,Sherman County,39.351352,-101.719859,5.7,45966,31.9,9.09%
21105,KY,Hickman County,36.675916,-88.97202,20.2,44290,39.4,5.88%
21135,KY,Lewis County,38.532051,-83.373303,28.7,35751,40.2,43.64%
21219,KY,Todd County,36.840338,-87.183642,33.3,51027,38.8,2.56%
22005,LA,Ascension Parish,30.202946,-90.910023,369.7,77758,32.4,18.09%
22055,LA,Lafayette Parish,30.206507,-92.06417,824.6,57821,30.2,30.32%
23031,ME,York County,43.427239,-70.670402,199,65984,30.6,23.47%
24003,MD,Anne Arundel County,38.993374,-76.560511,1295.9,97051,23.8,6.11%
24013,MD,Carroll County,39.563189,-77.015512,373.4,95956,29.9,11.34%
26161,MI,Washtenaw County,42.252327,-83.844634,488.4,72267,14.9,38.13%
27007,MN,Beltrami County,47.878825,-94.986698,17.7,47073,28.1,20.00%
27047,MN,Freeborn County,43.674202,-93.350289,44.2,52010,37.3,38.24%
27055,MN,Houston County,43.66699,-91.501556,34.5,59613,33.6,17.14%
27063,MN,Jackson County,43.673025,-95.149704,14.6,57786,34.2,40.91%
27073,MN,Lac qui Parle County,44.999855,-96.176836,9.5,52445,36.8,37.50%
27103,MN,Nicollet County,44.35882,-94.245685,73,66209,26.7,1.98%
27121,MN,Pope County,45.589623,-95.446705,16.4,60975,32.6,34.78%
27153,MN,Todd County,46.066569,-94.900576,26.3,58113,36.4,16.67%
27155,MN,Traverse County,45.76984,-96.475049,6.2,49773,34.6,16.67%
27159,MN,Wadena County,46.586784,-94.988331,25.8,46312,37.2,48.84%
28157,MS,Wilkinson County,31.160249,-91.325567,14.6,29900,40.3,33.33%
29029,MO,Camden County,38.031995,-92.765138,67.1,48580,37.7,13.33%
